tradition,year,title,file,fk_grade,flesch_ease,word_count,type_token_ratio,avg_word_length,avg_sentence_length,hedge_rate,fp_plural_rate,fp_singular_rate,theol_juridical_rate,theol_pastoral_rate,theol_ecumenical_rate,theol_modern_world_rate,theol_scripture_rate,theol_tradition_rate,paraphrased,conservative_resurgence,document_type,pope,pre_vii,council_period,cosine_sim_to_prev
lds,1915,1915 10 ia conference report,1915_10_ia_conference_report.txt,11.11,64.04,82885,0.0809,4.174,27.31,0.00506,0.02705,0.02584,0.00103,0.00017,0.0025,0.00433,0.00512,0.00046,False,,,,,,0.9011
lds,1916,1916 04 ia conference report,1916_04_ia_conference_report.txt,12.67,58.69,87053,0.0901,4.238,30.59,0.00466,0.02006,0.01759,0.0018,0.00015,0.00183,0.00449,0.00503,0.0003,False,,,,,,0.9027
lds,1916,1916 10 ia conference report,1916_10_ia_conference_report.txt,12.01,60.92,94037,0.0841,4.219,29.18,0.00504,0.01938,0.01912,0.00119,0.00038,0.00215,0.00414,0.00465,0.00047,False,,,,,,0.9187
lds,1917,1917 04 ia conference report,1917_04_ia_conference_report.txt,12.37,60.28,92274,0.0807,4.197,30.28,0.00566,0.02329,0.0221,0.00194,0.00042,0.00156,0.00437,0.00435,0.00027,False,,,,,,0.923
lds,1917,1917 10 ia conference report,1917_10_ia_conference_report.txt,11.72,61.76,91576,0.0836,4.22,28.48,0.0048,0.01823,0.02089,0.00181,0.00046,0.00176,0.00423,0.00463,0.00046,False,,,,,,0.923
lds,1919,1919 04 ia conference report,1919_04_ia_conference_report.txt,10.88,64.37,84685,0.0822,4.181,26.55,0.00515,0.01449,0.03317,0.00137,0.00031,0.00213,0.00388,0.00459,0.00058,False,,,,,,0.8889
lds,1919,1919 10 ia conference report,1919_10_ia_conference_report.txt,11.02,62.83,114655,0.072,4.267,26.25,0.00483,0.02003,0.02389,0.00205,0.00038,0.00181,0.00399,0.00376,0.00044,False,,,,,,0.8557
lds,1920,1920 10 ia conference report,1920_10_ia_conference_report.txt,11.13,63.05,95934,0.0743,4.214,26.84,0.00485,0.02435,0.0259,0.00253,0.00033,0.0024,0.00365,0.005,0.00018,False,,,,,,0.9144
lds,1921,1921 04 ia conference report,1921_04_ia_conference_report.txt,12.02,59.55,121625,0.0706,4.289,28.43,0.00502,0.02086,0.02162,0.00151,0.00039,0.00189,0.00399,0.00441,0.00038,False,,,,,,0.9122
lds,1921,1921 10 ia conference report,1921_10_ia_conference_report.txt,11.82,60.55,108962,0.0693,4.267,28.19,0.00508,0.02402,0.02465,0.00221,0.00041,0.00233,0.00416,0.00499,0.00045,False,,,,,,0.9397
lds,1922,1922 04 ia conference report,1922_04_ia_conference_report.txt,12.81,55.98,89144,0.0841,4.361,29.62,0.00482,0.02116,0.01883,0.00243,0.00034,0.00173,0.00476,0.00486,0.00045,False,,,,,,0.9311
lds,1922,1922 10 ia conference report,1922_10_ia_conference_report.txt,12.72,57.39,107047,0.0728,4.303,30.05,0.00513,0.01939,0.02128,0.00389,0.00025,0.00161,0.0046,0.00541,0.00027,False,,,,,,0.9395
lds,1923,1923 04 ia conference report,1923_04_ia_conference_report.txt,12.11,59.98,86554,0.0768,4.253,29.04,0.00559,0.0189,0.02786,0.00229,0.00015,0.00256,0.00404,0.00425,0.0006,False,,,,,,0.9247
lds,1923,1923 10 ia conference report,1923_10_ia_conference_report.txt,12.8,56.88,86381,0.0783,4.333,30.07,0.00555,0.02039,0.01907,0.00201,0.00025,0.00177,0.00487,0.00552,0.00056,False,,,,,,0.9071
lds,1924,1924 04 ia conference report,1924_04_ia_conference_report.txt,12.69,57.45,86394,0.0805,4.322,29.95,0.00479,0.01851,0.02093,0.00198,0.00022,0.00205,0.00466,0.006,0.00039,False,,,,,,0.9265
lds,1924,1924 10 ia conference report,1924_10_ia_conference_report.txt,12.29,58.48,84037,0.0777,4.315,28.94,0.00546,0.02094,0.02241,0.0022,0.00033,0.00192,0.00503,0.00645,0.00038,False,,,,,,0.9303
lds,1925,1925 10 ia conference report,1925_10_ia_conference_report.txt,12.22,59.02,94635,0.0726,4.28,28.96,0.00612,0.01977,0.02376,0.00146,0.00035,0.00184,0.00421,0.00594,0.00033,False,,,,,,0.9345
lds,1926,1926 04 ia conference report,1926_04_ia_conference_report.txt,12.4,58.05,87391,0.0718,4.302,29.12,0.00565,0.02175,0.02306,0.00215,0.00035,0.00203,0.00312,0.00557,0.00041,False,,,,,,0.9273
lds,1927,1927 10 ia conference report,1927_10_ia_conference_report.txt,11.49,59.99,84232,0.0868,4.324,26.56,0.006,0.02237,0.02322,0.0038,0.00034,0.00173,0.00354,0.00452,0.00038,False,,,,,,0.9087
lds,1928,1928 04 ia conference report,1928_04_ia_conference_report.txt,11.64,58.99,64153,0.0891,4.376,26.59,0.00415,0.01562,0.01959,0.00306,0.00033,0.00142,0.00447,0.00638,0.00056,False,,,,,,0.8757
lds,1928,1928 10 ia conference report,1928_10_ia_conference_report.txt,11.5,58.64,69076,0.0912,4.4,25.83,0.00539,0.01868,0.0159,0.00278,0.00035,0.00145,0.00452,0.00486,0.00038,False,,,,,,0.891
lds,1930,1930 04 ia conference report,1930_04_ia_conference_report.txt,11.77,57.16,102540,0.0811,4.45,26.11,0.00531,0.01384,0.02105,0.00164,0.00036,0.00127,0.00504,0.00549,0.00042,False,,,,,,0.8977
lds,1930,1930 10 ia conference report,1930_10_ia_conference_report.txt,11.32,58.92,73536,0.088,4.413,25.29,0.00495,0.02136,0.01873,0.0025,0.00012,0.00218,0.00451,0.00485,0.00039,False,,,,,,0.8964
lds,1931,1931 04 ia conference report,1931_04_ia_conference_report.txt,11.26,59.94,69568,0.0914,4.377,25.61,0.00542,0.01777,0.02094,0.00223,0.00026,0.00174,0.00372,0.00538,0.00037,False,,,,,,0.9105
lds,1932,1932 04 ia conference report,1932_04_ia_conference_report.txt,11.12,60.15,66604,0.0922,4.371,25.14,0.00488,0.01682,0.02368,0.00182,0.00018,0.00126,0.00386,0.00541,0.00047,False,,,,,,0.9204
lds,1932,1932 10 ia conference report,1932_10_ia_conference_report.txt,11.11,59.57,60854,0.0987,4.413,24.81,0.00647,0.01837,0.02082,0.00317,0.00021,0.00159,0.00437,0.00293,0.00036,False,,,,,,0.8735
lds,1933,1933 04 ia conference report,1933_04_ia_conference_report.txt,11.16,59.92,69546,0.0913,4.388,25.19,0.00515,0.0214,0.01964,0.00249,0.00039,0.00167,0.00407,0.0044,0.00033,False,,,,,,0.8931
lds,1933,1933 10 ia conference report,1933_10_ia_conference_report.txt,10.95,60.17,62145,0.0921,4.391,24.47,0.00565,0.02177,0.02359,0.00143,0.00037,0.00193,0.00512,0.00468,0.00032,False,,,,,,0.9119
lds,1934,1934 04 ia conference report,1934_04_ia_conference_report.txt,10.71,61.16,69197,0.0872,4.382,24.07,0.0059,0.02201,0.02331,0.00156,0.00016,0.00201,0.00435,0.00514,0.00039,False,,,,,,0.9128
lds,1935,1935 04 ia conference report,1935_04_ia_conference_report.txt,11.16,60.38,65311,0.0969,4.366,25.45,0.00504,0.0192,0.02205,0.00266,0.00029,0.00171,0.0047,0.00504,0.00055,False,,,,,,0.9095
lds,1935,1935 10 ia conference report,1935_10_ia_conference_report.txt,10.96,60.79,60743,0.0977,4.377,24.86,0.00515,0.02404,0.02394,0.00199,0.00021,0.00153,0.00449,0.00499,0.00053,False,,,,,,0.9095
lds,1936,1936 04 ia conference report,1936_04_ia_conference_report.txt,11.29,59.33,59954,0.0972,4.411,25.37,0.00497,0.0215,0.01816,0.00208,0.00027,0.00095,0.00462,0.00445,0.00033,False,,,,,,0.9186
lds,1937,1937 04 ia conference report,1937_04_ia_conference_report.txt,11.08,60.11,65840,0.0936,4.387,24.97,0.00583,0.01871,0.02181,0.00258,0.00012,0.00184,0.0051,0.00451,0.00032,False,,,,,,0.9129
lds,1937,1937 10 ia conference report,1937_10_ia_conference_report.txt,10.77,60.66,67754,0.0926,4.387,24.03,0.00567,0.02313,0.02311,0.00171,0.00034,0.00134,0.00455,0.00471,0.00041,False,,,,,,0.915
lds,1938,1938 04 ia conference report,1938_04_ia_conference_report.txt,11.09,58.54,61501,0.1022,4.467,24.13,0.00569,0.02096,0.01849,0.00273,8e-05,0.00153,0.00397,0.00488,0.00031,False,,,,,,0.9004
lds,1938,1938 10 ia conference report,1938_10_ia_conference_report.txt,10.68,61.3,72260,0.0957,4.396,24.01,0.00529,0.02124,0.02326,0.00188,0.00018,0.0018,0.00394,0.00455,0.00024,False,,,,,,0.8994
lds,1939,1939 04 ia conference report,1939_04_ia_conference_report.txt,10.94,59.62,70401,0.0958,4.438,24.15,0.00544,0.0218,0.01673,0.00153,0.00037,0.00129,0.00456,0.00536,0.00034,False,,,,,,0.8974
lds,1939,1939 10 ia conference report,1939_10_ia_conference_report.txt,10.97,58.55,65234,0.1038,4.485,23.68,0.00544,0.02246,0.01925,0.00196,0.00029,0.00129,0.00495,0.00403,0.00034,False,,,,,,0.8717
